Date,Steps,Resting HR,Sleep Hours,Active Calories,Active Minutes,Weight,Body Fat
2026-04-16,9460,64,7.3,424,10,76.7,18.7
2026-04-17,10280,65,6.6,246,29,76.9,19.4
2026-04-18,14424,65,8.4,591,86,76.8,19.1
2026-04-19,7870,63,7.3,426,35,76.5,17.9
2026-04-20,13056,57,7.2,409,42,76.5,18.1
2026-04-21,7634,61,7.0,453,36,76.1,18.8
2026-04-22,14012,56,7.1,361,32,76.3,18.1
2026-04-23,11622,64,8.1,200,84,76.9,19.2
2026-04-24,5888,59,7.3,518,63,76.4,18.8
2026-04-25,8335,60,7.4,347,56,76.7,19.3
2026-04-26,5472,66,7.5,322,90,76.4,17.8
2026-04-27,14048,62,6.2,630,14,76.4,18.4
2026-04-28,7522,63,8.3,349,65,76.0,18.9
2026-04-29,12905,63,6.6,482,18,76.3,18.3
2026-04-30,13327,58,8.2,341,53,76.8,18.2
2026-05-01,9377,56,6.7,352,75,76.6,18.7
2026-05-02,7434,63,7.3,376,42,76.5,18.6
2026-05-03,12460,61,8.2,557,30,76.4,18.6
2026-05-04,11730,56,6.8,442,90,76.1,19.3
2026-05-05,7492,63,8.4,264,64,76.2,19.4
2026-05-06,6644,63,6.2,433,1,76.1,18.9
2026-05-07,7529,57,7.2,335,43,76.2,18.7
2026-05-08,6315,61,8.1,639,68,76.2,18.3
2026-05-09,12994,64,6.1,235,30,76.1,18.8
2026-05-10,8727,57,7.1,250,81,76.7,18.9
2026-05-11,7725,60,8.3,223,41,75.9,19.1
2026-05-12,11141,62,6.4,471,52,76.0,18.6
2026-05-13,7785,58,6.2,645,48,76.5,18.7
2026-05-14,14554,58,6.6,526,32,76.0,18.4
2026-05-15,12622,60,7.7,280,9,76.4,18.4
