Date,Recovery Score,HRV (ms),Resting HR,Sleep Hours,Sleep Quality,Strain,Calories
2026-04-16,47,36.5,66,8.1,65,6.3,2417
2026-04-17,89,48.7,67,6.3,86,15.2,2511
2026-04-18,69,43.6,60,6.2,91,9.4,2660
2026-04-19,87,44.8,61,8.4,90,16.6,2741
2026-04-20,80,38.1,57,7.8,91,8.5,2902
2026-04-21,84,44.7,61,8.1,87,8.5,2302
2026-04-22,88,53.7,59,8.2,65,14.8,2967
2026-04-23,74,48.4,60,6.1,70,7.4,2234
2026-04-24,57,51.0,60,6.7,88,14.1,2365
2026-04-25,70,35.2,58,6.2,76,11.4,2292
2026-04-26,79,44.5,66,7.2,51,6.2,2253
2026-04-27,60,48.8,59,7.7,73,11.2,2887
2026-04-28,57,43.5,66,7.4,72,14.1,2354
2026-04-29,54,40.0,56,7.8,70,6.6,2897
2026-04-30,95,50.2,57,6.5,80,8.6,3007
2026-05-01,83,45.5,59,8.5,62,8.9,2539
2026-05-02,46,41.0,66,7.3,67,5.6,1911
2026-05-03,70,40.8,57,7.6,81,6.3,1825
2026-05-04,71,40.7,62,7.1,61,17.6,2317
2026-05-05,95,52.2,56,8.1,75,11.4,2981
2026-05-06,75,48.7,57,6.4,86,17.3,1974
2026-05-07,50,37.4,67,7.0,88,15.3,2262
2026-05-08,84,45.5,62,8.3,69,16.2,2678
2026-05-09,54,46.4,55,7.5,56,17.3,2225
2026-05-10,75,39.2,65,6.2,65,7.3,1953
2026-05-11,45,35.1,62,7.7,80,8.8,2274
2026-05-12,53,49.1,66,8.1,54,13.9,2341
2026-05-13,85,50.8,64,7.7,62,10.5,2915
2026-05-14,49,48.0,59,8.1,54,5.8,2429
2026-05-15,73,50.0,64,8.3,78,6.6,2422
